YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Silver Queen,CNBC,     363000.,760, 0.0003100,2100,    0.0275000,6000
Skaide,NRWY,      22000.,5800, 0.0000000,0,    0.0000000,0
Solbec,CNQU,   11935000.,1360, 0.0000310,470,    0.0025200,3700
Sotiel,SPAN,   41000000.,600, 0.0000000,1300,    0.0000000,4300
Sourdough Bay,CNMN,     289000.,1460, 0.0000000,0,    0.0000000,1710
South Dufault,CNQU,     218000.,1080, 0.0000000,0,    0.0000000,0
South Rusty Hill,CNQU,     454000.,800, 0.0000000,0,    0.0000000,0
Spenceville,USCA,     136000.,5000, 0.0000000,0,    0.0000000,0
Spruce Point,CNMN,     907000.,2000, 0.0000000,0,    0.0000000,4000
Stall Lake,CNMN,    6040000.,4390, 0.0001350,0,    0.0010140,550
Stekenjokk,SWDN,   15100000.,1460, 0.0000250,300,    0.0053000,3030
Stirling,CNNS,    1240000.,720, 0.0000960,1430,    0.0006900,6370
Stowell,USCA,     150000.,3000, 0.0001100,0,    0.0037480,0
Stralak,CNON,     330000.,320, 0.0000000,0,    0.0023000,3180
Stratmat,CNNB,    1090000.,1000, 0.0000000,1000,    0.0065000,3000
Sturgeon Lake,CNON,    2087000.,2800, 0.0000650,1420,    0.0181800,10190
Suffield,CNQU,     907000.,1280, 0.0000620,590,    0.0082000,6450
Sulat,PLPN,   20200000.,1210, 0.0000000,0,    0.0000000,0
Sun,CNMN,     500000.,1500, 0.0000000,0,    0.0000000,500
Sunshine,CNBC,     313000.,180, 0.0000000,1690,    0.0012200,4800
Susu Lake,CNNT,     129000.,950, 0.0000000,0,    0.0000000,0
Sutro,USCA,      32000.,7500, 0.0002760,0,    0.0218000,0
Tache Lake,CNQU,     643000.,330, 0.0002100,0,    0.0011300,5260
Taisho(Nishmata),JAPN,    1730000.,2600, 0.0000000,1300,    0.0000000,8900
Takijug Lake,CNNT,     726000.,3710, 0.0000000,0,    0.0028000,3730
Taknar I,IRAN,     100000.,2000, 0.0000000,0,    0.0000000,1000
Taknar II,IRAN,      50000.,2000, 0.0000000,1000,    0.0000000,15000
Tapley,USME,      50000.,2600, 0.0002100,10,    0.0105300,40
Tashiro,JAPN,    3880000.,860, 0.0000200,300,    0.0032000,1170
Taslica,TRKY,     200000.,7180, 0.0000000,1380,    0.0000000,18570
Teahan,CNNB,     122000.,460, 0.0000000,0,    0.0029800,1460
Tedi,CNBC,     124000.,220, 0.0000340,2070,    0.0127000,2040
Terra Nova,CNNF,     118000.,2400, 0.0001680,0,    0.0009900,0
Teutonic Bore,AUWA,    2500000.,3500, 0.0000000,0,    0.0150000,9500
Texas,CNNB,    5000000.,1000, 0.0000000,2000,    0.0000000,5000
Third Portage,CNNB,    3630000.,310, 0.0000690,4600,    0.0084000,5900
Tjokkola,SWDN,     169000.,890, 0.0000100,100,    0.0022000,2200
Tomogonops,CNNB,    2040000.,590, 0.0000000,2440,    0.0031900,6290
Trinity,CNQU,     133000.,1180, 0.0000000,0,    0.0000000,740
Trout Bay,CNON,     127000.,500, 0.0000240,240,    0.0058000,7500
Tschhta(Hatabra),JAPN,    8710000.,1400, 0.0002800,100,    0.0022000,200
Tschhta(Honzawa),JAPN,     840000.,1000, 0.0002500,500,    0.0025000,1500
Tschhta(Shrtsuc),JAPN,    3200000.,1430, 0.0002800,160,    0.0022000,500
Tschhta(UnonoOk),JAPN,    2650000.,1210, 0.0000900,0,    0.0009100,0
Tschhta(Wshnosu),JAPN,     360000.,400, 0.0003000,0,    0.0010000,0
Tulk's Pond,CNNF,     544000.,1500, 0.0000000,1500,    0.0000000,5000
Tulsequah,CNBC,    1620000.,1270, 0.0004040,1260,    0.0140000,6900
Tunca,TRKY,    1000000.,1380, 0.0000000,0,    0.0000000,1000
Tverrfjellet,NRWY,   19000000.,1000, 0.0000000,200,    0.0000000,1200
Uchi,CNON,    1590000.,1840, 0.0000000,0,    0.0072700,11400
Udden,SWDN,    8000000.,440, 0.0000800,310,    0.0040000,4540
Undu,FIJI,     167000.,2520, 0.0000400,130,    0.0071400,3320
Vaddas,NRWY,    1500000.,1690, 0.0000000,0,    0.0000000,10
Vamp,CNMN,     454000.,1650, 0.0002300,0,    0.0014000,1100
Vauze,CNQU,     349000.,2900, 0.0000650,0,    0.0023600,490
Vermillion,CNON,    5390000.,1120, 0.0001700,1000,    0.0049000,3890
Vigsnes,NRWY,    2500000.,1700, 0.0000000,0,    0.0000000,1400
Viscaria,SWDN,   30000000.,1100, 0.0000000,0,    0.0000000,0
Waden Bay,CNSK,    1720000.,1640, 0.0001230,0,    0.0005480,0
Waite East,CNQU,    1500000.,4130, 0.0001820,0,    0.0031000,3260
Wallaroo,AUWA,    3800000.,3300, 0.0000000,0,    0.0000000,0
Wedge,CNNB,    1456000.,2400, 0.0000340,400,    0.0017000,1750
Weedon,CNQU,    1601000.,1620, 0.0000210,0,    0.0005300,770
Weiss,TRKY,    1814000.,3180, 0.0002600,0,    0.0018400,480
Westarm,CNMN,    1230000.,4000, 0.0001270,0,    0.0016000,1780
Whim Creek,AUWA,    2790000.,2000, 0.0000000,0,    0.0000000,470
White Lake,CNMN,     628000.,2010, 0.0000690,0,    0.0030900,4730
Whundo,AUWA,    2060000.,2220, 0.0000000,0,    0.0000000,1260
Wildcat,PLPN,     600000.,3100, 0.0000000,0,    0.0000000,0
Willecho,CNON,    3192000.,570, 0.0000069,190,    0.0055000,3000
Wim,CNMN,     989000.,2910, 0.0001710,0,    0.0008200,0
Windy,CNBC,    9070000.,1000, 0.0000000,0,    0.0000000,0
Woodlawn,AUQL,   11000000.,1770, 0.0000000,3540,    0.0078000,9340
Yava,CNNT,    1130000.,600, 0.0000340,1700,    0.0137000,5000
Yoichi,JAPN,     740000.,700, 0.0001300,1000,    0.0050000,3500
Yokota(MtymaHma),JAPN,    7990000.,1080, 0.0000100,580,    0.0046000,2460
Yoshino (Hisaka),JAPN,     960000.,1000, 0.0001000,0,    0.0060000,4000
Yoshino (Main),JAPN,    4750000.,1330, 0.0002070,0,    0.0060000,4220
Z,CNMN,     139000.,1110, 0.0000540,0,    0.0000000,2490
