YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Chester,CNNB,   16240000.,770, 0.0000004,70,    0.0000110,190
Chisel Lake,CNMN,    6070000.,530, 0.0001740,730,    0.0041800,11190
Clinton,CNQU,    1422000.,1910, 0.0000033,40,    0.0009060,1380
Conception,SPAN,    5870000.,900, 0.0000000,500,    0.0000000,1500
Conigo,CNQU,    2920000.,1600, 0.0000000,0,    0.0027000,130
Copper Crown,CNBC,     211000.,310, 0.0000000,0,    0.0025000,4250
Copper George,AUWA,     500000.,290, 0.0000000,0,    0.0000000,5200
Copper Hill,USCA,     266000.,430, 0.0000000,0,    0.0000000,0
Corbet,CNQU,    2736000.,3010, 0.0000960,0,    0.0020600,1930
Coronation,CNSK,    1280000.,4240, 0.0001890,0,    0.0006200,220
Crandon,USWI,   68000000.,1000, 0.0000000,0,    0.0000000,5000
Cronin,CNBC,      54000.,8120, 0.0000340,0,    0.0431000,7110
Cueva de la Mora,SPAN,    3769000.,1100, 0.0000000,0,    0.0000000,0
Cupra D'Etrie,CNQU,    2966000.,2650, 0.0000480,430,    0.0036200,2630
Cuprus,CNMN,     462000.,3250, 0.0001300,0,    0.0028800,6400
Davis,USMS,     900000.,700, 0.0000000,15,    0.0027800,5600
Deer Isle,USME,      50000.,4220, 0.0010600,0,    0.0068600,1400
Delbridge,CNQU,     445000.,980, 0.0001920,0,    0.0054800,7300
Despina,CNQU,    1220000.,1780, 0.0000000,0,    0.0000000,0
Detour,CNQU,   40900000.,890, 0.0000460,0,    0.0032300,2010
Devils Elbow,CNNB,     517000.,1050, 0.0000000,0,    0.0000000,0
Dickstone,CNMN,    1000000.,2580, 0.0000550,0,    0.0012300,3100
Don Jon,CNMN,      80000.,3070, 0.0000790,0,    0.0014700,0
Double Ed,CNBC,    3630000.,1000, 0.0000000,0,    0.0000000,600
Dumagami,CNQU,    2134000.,140, 0.0003260,0,    0.0009300,0
DumontBourlamque,CNQU,     180000.,690, 0.0002900,0,    0.0000000,0
Dunraine,CNQU,    3030000.,1190, 0.0000180,0,    0.0003090,0
Duthie,CNBC,     118000.,400, 0.0001270,2800,    0.0106500,6500
Dyce Siding,CNMN,    3180000.,650, 0.0000000,0,    0.0000000,1830
Early Bird,USCA,      36000.,4300, 0.0001100,0,    0.0061700,4700
East Sullivan,CNQU,   14950000.,940, 0.0000240,0,    0.0007200,490
Ego,CNON,     336000.,1600, 0.0003800,0,    0.0000000,0
Embury Lake,CNMN,    3600000.,2600, 0.0001400,0,    0.0008900,4300
Emerson,USME,     150000.,230, 0.0011200,2280,    0.0134500,3160
Empire Le Tac,CNQU,     323000.,250, 0.0000000,0,    0.0005590,2420
Errington,CNON,   12208000.,1200, 0.0000820,1000,    0.0054500,3800
Estacao,PORT,   30000000.,300, 0.0000300,1500,    0.0040000,4500
Eulaminna,AUWA,      48000.,9010, 0.0000000,0,    0.0000000,0
Eustis,CNQU,    6350000.,1700, 0.0000000,0,    0.0000000,0
F Group,CNON,     572000.,980, 0.0000000,490,    0.0001800,8100
Farwell Lake,CNMN,     257000.,2030, 0.0000000,0,    0.0000000,0
FilonSurEspranza,SPAN,  110000000.,1200, 0.0000000,500,    0.0000000,1000
Fjeldgruve,NRWY,      27000.,1850, 0.0000000,0,    0.0000000,3700
FL & DH,CNMN,     454000.,900, 0.0000000,0,    0.0000000,2200
Flambeau,USWI,    5400000.,2070, 0.0000000,0,    0.0000000,1200
Flexar,CNSK,     301000.,3800, 0.0001370,0,    0.0006100,470
Flin Flon,CNMN,   58400000.,2240, 0.0002130,200,    0.0030500,4230
Fonnfjell,NRWY,     130000.,400, 0.0000000,0,    0.0000000,0
Fox,CNMN,   13000000.,1880, 0.0000180,0,    0.0005230,1950
Freddie Wells,AUNS,     500000.,250, 0.0000000,0,    0.0000000,10000
Fretais,PORT,   70000000.,530, 0.0000500,1270,    0.0031000,2980
Frotet Lake,CNQU,    1330000.,1730, 0.0000540,0,    0.0031000,2960
Fukazawa,JAPN,    6470000.,1110, 0.0001180,3080,    0.0145000,14700
Furuhaugen,NRWY,     200000.,1800, 0.0000000,0,    0.0000000,500
Furutobe-Ainai,JAPN,   14240000.,1480, 0.0001600,550,    0.0148000,2320
Gamle Folldal,NRWY,    3000000.,1500, 0.0000000,300,    0.0000000,3000
Garon Lake,CNQU,     515000.,1450, 0.0000340,0,    0.0010300,2220
Gaviao,PORT,   25000000.,1500, 0.0000800,900,    0.0034000,3500
Gelvenakko,SWDN,      50000.,1840, 0.0000100,420,    0.0016000,1630
George Copper,CNBC,     553000.,2000, 0.0002060,0,    0.0017200,0
Ghost Lake,CNMN,     559000.,1390, 0.0001370,400,    0.0046300,8640
Giken-Charlotta,NRWY,   15800000.,1950, 0.0000000,0,    0.0002000,560
Girilambone,AUNS,    3350000.,2120, 0.0000000,0,    0.0000000,0
Gjersvik,NRWY,    1700000.,1350, 0.0000000,0,    0.0000000,300
Golden Grove,AUWA,   39200000.,1840, 0.0000420,150,    0.0041600,4500
Goodenough,CNMN,     165000.,2630, 0.0002050,0,    0.0000000,1210
Gray Eagle,USCA,    1330000.,3800, 0.0006170,0,    0.0017600,0
Green Coast,CNON,     181000.,1250, 0.0000000,0,    0.0000000,0
Greens Creek,USAK,    3629000.,500, 0.0003400,2500,    0.0343000,9000
Gullbridge,CNNF,    4700000.,800, 0.0000000,0,    0.0000000,0
Hacan,TRKY,      40000.,1600, 0.0000000,0,    0.0000000,0
HalfMileLake(SG),CNNB,     907000.,440, 0.0000000,790,    0.0001710,6010
Halliwell,CNQU,     183000.,1730, 0.0000240,0,    0.0000000,0
Hnoka(DoyTstKam),JAPN,   22780000.,2080, 0.0000000,1020,    0.0000000,3460
Hanaoka(MatsSha),JAPN,   54200000.,2190, 0.0000620,760,    0.0064000,2630
Hanawa(AktshOsk),JAPN,    2260000.,1550, 0.0000000,3180,    0.0000000,9240
Hanson Lake,CNSK,     141000.,510, 0.0000000,5830,    0.0137000,9990
Harkoy,TRKY,    4000000.,845, 0.0000000,3770,    0.0000000,7700
HeathSteele(ACD),CNNB,    4780000.,1000, 0.0001030,1310,    0.0056600,5340
Heath Steele (B),CNNB,   40415000.,1110, 0.0000930,1610,    0.0063800,4710
Heath Steele(EF),CNNB,    1403000.,1510, 0.0001030,2010,    0.0079900,4390
Hercules,AUTS,    2360000.,500, 0.0003110,5080,    0.0152000,16000
Herrerias,SPAN,    7300000.,1070, 0.0000000,680,    0.0000000,1190
Hersjo,NRWY,    3200000.,1400, 0.0000000,10,    0.0000000,1400
High Lake,CNNT,    4720000.,3530, 0.0000500,0,    0.0000000,2460
Hixbar,PLPN,   28000000.,3130, 0.0003400,0,    0.0030800,14650
Hoida,NRWY,     100000.,1500, 0.0000000,0,    0.0000000,1000
Hood River,CNNT,     744000.,3660, 0.0000000,0,    0.0028000,3740
Horne-Quemont,CNQU,  121800000.,1170, 0.0005800,0,    0.0020400,810
Hunter,CNQU,     439000.,1280, 0.0000000,0,    0.0000000,0
