yacName,Loc,Tonn,Au,Ag
Empire-Lone Star,USCA,37000,  0.000790,  0.0006000
Enterprise,USCA,5300,  0.003200,  0.0000000
Erenshaw & Whalan,,10,  0.000840,  0.0000000
Escondido,,17000,  0.001300,  0.0008900
Esmeralda,USCA,9000,  0.005300,  0.0000000
Ester Dome SE,USAK,330000,  0.002500,  0.0000000
Excelsior-Ryan,,30000,  0.002000,  0.0000000
Experimental,USCA,25000,  0.000740,  0.0000000
Felicianna,USCA,11000,  0.002400,  0.0003600
Fellowcraft-Ford,,13000,  0.001100,  0.0000000
Fifteen-mile Brook,CNNS,2500,  0.001100,  0.0000000
Fifteen-mile Strm,CNNS,45000,  0.001400,  0.0000000
Fifty-five,USCA,180,  0.001700,  0.0000000
Fine Gold,USCA,2500,  0.000690,  0.0000000
Finney,USCA,1800,  0.001300,  0.0000000
Fitzgeralds,,190,  0.000380,  0.0000000
Five Pines,USCA,45000,  0.000910,  0.0000000
Forbstown,USCA,510000,  0.000590,  0.0000000
Forest Hill,CNNS,52000,  0.001500,  0.0000000
Four Hells Mine,USCA,600000,  0.000150,  0.0003300
Fourth Crosssing,USCA,33000,  0.000990,  0.0000000
Francis Hill,,660,  0.002400,  0.0000000
Francis Ormond,AUVT,55000,  0.000860,  0.0000000
Franklin,USCA,4600,  0.002900,  0.0000000
Fredericks,,90,  0.000350,  0.0012000
French,USCA,18000,  0.002700,  0.0000000
French Gulch,USCA,1300000,  0.003900,  0.0000000
Fryer's Creek,AUVT,39000,  0.000660,  0.0000000
Gabriels Gully,NZLD,4500,  0.000790,  0.0000000
Gambetta,USCA,14000,  0.005500,  0.0000000
Gambrinus,USCA,14000,  0.001300,  0.0000000
Gem,USCA,2400,  0.001900,  0.0000000
Gem Olive,USCA,18000,  0.004100,  0.0000000
German Bar,USCA,18000,  0.001600,  0.0000000
Giant King,USCA,2500,  0.001500,  0.0000000
Gibralter,USCA,27000,  0.002800,  0.0000000
Gladstone,USCA,390000,  0.001600,  0.0000000
Glencoe-Woodhouse,USCA,7600,  0.001200,  0.0000000
Globe-Ralston,USCA,390000,  0.001500,  0.0003500
Gold Cup,,24,  0.005200,  0.0000000
Gold King,,2300,  0.000400,  0.0000000
Gold Point,USCA,13000,  0.001600,  0.0000000
Gold Reef,USCA,820,  0.000450,  0.0000000
Gold River,USCA,26000,  0.000930,  0.0000000
Golden Chariot,USCA,12000,  0.007900,  0.0000000
Golden Eagle,USCA,64000,  0.002300,  0.0000000
Golden Jubilee,USCA,20000,  0.001100,  0.0000000
Golden Wedge,,3000,  0.002500,  0.0000000
Golden-El Dorado,USCA,26000,  0.003300,  0.0000000
Goldenville,CNNS,550000,  0.001200,  0.0000000
Grand Victory,USCA,110000,  0.000340,  0.0000000
Granite Hill,USOR,14000,  0.000820,  0.0000000
Granite King,USCA,8200,  0.000850,  0.0003400
Granite Mountain,,440,  0.000520,  0.0000000
Grant,USAK,500,  0.003000,  0.0000000
Grass Valley,USCA,26000000,  0.001600,  0.0000000
Great Star Reef,,67,  0.009400,  0.0000000
Great Western,,45,  0.002500,  0.0000000
Green Excelsior,USCA,820,  0.002400,  0.0000000
Greenback,USOR,45000,  0.001300,  0.0000000
Growler,,250000,  0.002000,  0.0000000
Guadalupe,,75,  0.003800,  0.0000000
Gwinn,,990000,  0.000990,  0.0000000
Gwynne,USCA,23000,  0.003900,  0.0000000
Gympie Goldfield,,3800000,  0.002800,  0.0000000
Hall Creek,CNBC,11000,  0.001800,  0.0001700
Ham & Birney,USCA,16000,  0.000980,  0.0000000
Harriet,CNBC,140,  0.007200,  0.0012000
Harrigan Cove,CNNS,13000,  0.001900,  0.0000000
Hathaway,USCA,4900,  0.002200,  0.0000000
Hazel,USCA,23000,  0.005100,  0.0000000
Hedley Camp,CNBC,3600000,  0.001500,  0.0000000
Henry Ford,USAK,1500,  0.004900,  0.0000000
Herman,USCA,40000,  0.000750,  0.0000000
Hillgrove,AUNS,280000,  0.006100,  0.0000000
Hirst-Chichagof,USAK,2000000,  0.001900,  0.0005900
Hi-Yu,USAK,7400,  0.005000,  0.0000000
Holmes,,39,  0.006400,  0.0000000
Homestake-McCarty,USAK,5600,  0.003500,  0.0000000
Hornitos,USCA,120000,  0.000710,  0.0003900
Horseshoe I,USCA,480,  0.004300,  0.0010000
Humdinger,,310,  0.002900,  0.0140000
Hunter,USCA,94400,  0.001200,  0.0004500
Ibex,,160000,  0.000480,  0.0000210
Iconoclast,USCA,360,  0.002500,  0.0000000
Indian Path Mine,CNNS,300,  0.000500,  0.0000000
Invincible Lode,NZLD,12000,  0.001900,  0.0000000
Isaac's Harbour,CNNS,49000,  0.002500,  0.0000000
Jabal Guyan,SAAR,23000,  0.000650,  0.0000000
Jacksonville,,150000,  0.000340,  0.0000000
Jamestown,USCA,4700000,  0.000620,  0.0000000
Jewel,,51,  0.007300,  0.0007900
Joe Walker,USCA,23000,  0.004000,  0.0000000
Jualin,,75000,  0.002000,  0.0007100
Jubilee,NZLD,3400,  0.001100,  0.0000000
Jubilee-New Jublee,AUVT,490000,  0.001100,  0.0000000
Julian-Banner,USCA,46000,  0.007900,  0.0000000
K.C.,USCA,6300,  0.003100,  0.0000000
Kelsey North,USCA,39000,  0.001900,  0.0000000
Kelsy,USCA,43000,  0.000360,  0.0000000
Kemptville,CNNS,3100,  0.001800,  0.0000000
Kensington-Comet,,520000,  0.000670,  0.0000000
Killag,CNNS,3500,  0.003200,  0.0000000
Kinsley,USCA,17000,  0.002400,  0.0000000
Kitenge-Adumbi,,500000,  0.001000,  0.0000000
Kotchkar Mines,USSR,4700000,  0.000990,  0.0000000
L.H. Group,,30000,  0.000520,  0.0000000
Lake Catcha,CNNS,24000,  0.002400,  0.0000000
Lamphear,USCA,1100,  0.001700,  0.0000000
Lawrencetown,CNNS,1500,  0.001800,  0.0000000
Leipsigate,CNNS,33000,  0.001100,  0.0001900
Leviathan,AUVT,150000,  0.001000,  0.0000000
Liberty,USCA,190000,  0.001700,  0.0000000
Little Gem,,800,  0.002300,  0.0000000
Little Kingbird,,630,  0.001200,  0.0000000
Little Liscomb Lak,,86,  0.001900,  0.0000000
Little Squaw,USAK,18000,  0.004900,  0.0000000
Locarno,USCA,360,  0.001500,  0.0000000
Loch Fyne,AUVT,150000,  0.002400,  0.0000000
Lone Hand,,51,  0.003100,  0.0000000
Lone Hand Mine,,41,  0.009100,  0.0000000
Long Mary-Alice,USCA,9900,  0.001800,  0.0000000
Long Tunnel,AUVT,1400000,  0.003200,  0.0000000
Lord Nelson,AUVT,630000,  0.001600,  0.0000000
Lowe and Party Clm,,160,  0.001200,  0.0000000
Lucky Bart,USOR,26000,  0.000800,  0.0008000
Lucky Bart,USOR,13000,  0.002400,  0.0000000
Lucky Shot-WarBaby,USAK,50000,  0.008100,  0.0000000
Lyell Goldfield,NZLD,140000,  0.002100,  0.0000000
Mabel,USAK,3000,  0.005000,  0.0000000
Malden North,AUVT,460000,  0.005400,  0.0000000
Mammoth,USCA,170000,  0.003300,  0.0000000
Mammoth No. 1,USCA,730,  0.000080,  0.0000000
Mariners,AUVT,24000,  0.005200,  0.0000000
Mariposa,USCA,180000,  0.001100,  0.0000000
Maude & YellowGirl,AUVT,21000,  0.001600,  0.0000000
Maykay Settlement,,68,  0.000600,  0.0000000
Melba Group,,360,  0.001600,  0.0000000
Midas,USCA,170000,  0.004600,  0.0000000
Midas Vein,,45,  0.000690,  0.0001400
Mikado,USAK,13000,  0.007300,  0.0000000
Miller Lake,CNNS,1200,  0.001400,  0.0000000
